macros,positive frequency,length
('light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'),81,3
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'),81,3
('light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'),81,4
('light_match_m11'  'mend_fuse_f11'),75,2
('mend_fuse_f11'  'mend_fuse_f11'),77,2
('mend_fuse_f11'  'light_match_m11'),75,2
('light_match_m11'  'mend_fuse_f11'  'mend_fuse_f11'),75,3
('mend_fuse_f11'  'mend_fuse_f11'  'light_match_m11'),75,3
('light_match_m11'  'mend_fuse_f11'  'mend_fuse_f11'  'light_match_m11'),75,4
('light_match_m13'  'mend_fuse_f13'),10,2
('mend_fuse_f13'  'mend_fuse_f13'),75,2
('mend_fuse_f13'  'light_match_m13'),10,2
('light_match_m13'  'mend_fuse_f13'  'mend_fuse_f13'),10,3
('mend_fuse_f13'  'mend_fuse_f13'  'light_match_m13'),10,3
('light_match_m13'  'mend_fuse_f13'  'mend_fuse_f13'  'light_match_m13'),10,4
('light_match_m14'  'mend_fuse_f14'),68,2
('mend_fuse_f14'  'mend_fuse_f14'),71,2
('mend_fuse_f14'  'light_match_m14'),68,2
('light_match_m14'  'mend_fuse_f14'  'mend_fuse_f14'),68,3
('mend_fuse_f14'  'mend_fuse_f14'  'light_match_m14'),68,3
('light_match_m14'  'mend_fuse_f14'  'mend_fuse_f14'  'light_match_m14'),68,4
('light_match_m15'  'mend_fuse_f15'),23,2
('mend_fuse_f15'  'mend_fuse_f15'),79,2
('mend_fuse_f15'  'light_match_m15'),23,2
('light_match_m15'  'mend_fuse_f15'  'mend_fuse_f15'),23,3
('mend_fuse_f15'  'mend_fuse_f15'  'light_match_m15'),23,3
('light_match_m15'  'mend_fuse_f15'  'mend_fuse_f15'  'light_match_m15'),23,4
('light_match_m16'  'mend_fuse_f16'),16,2
('mend_fuse_f16'  'mend_fuse_f16'),77,2
('mend_fuse_f16'  'light_match_m16'),16,2
('light_match_m16'  'mend_fuse_f16'  'mend_fuse_f16'),16,3
('mend_fuse_f16'  'mend_fuse_f16'  'light_match_m16'),16,3
('light_match_m16'  'mend_fuse_f16'  'mend_fuse_f16'  'light_match_m16'),16,4
('light_match_m17'  'mend_fuse_f17'),9,2
('mend_fuse_f17'  'mend_fuse_f17'),75,2
('mend_fuse_f17'  'light_match_m17'),9,2
('light_match_m17'  'mend_fuse_f17'  'mend_fuse_f17'),9,3
('mend_fuse_f17'  'mend_fuse_f17'  'light_match_m17'),9,3
('light_match_m17'  'mend_fuse_f17'  'mend_fuse_f17'  'light_match_m17'),9,4
('light_match_m18'  'mend_fuse_f18'),16,2
('mend_fuse_f18'  'mend_fuse_f18'),75,2
('mend_fuse_f18'  'light_match_m18'),16,2
('light_match_m18'  'mend_fuse_f18'  'mend_fuse_f18'),16,3
('mend_fuse_f18'  'mend_fuse_f18'  'light_match_m18'),16,3
('light_match_m18'  'mend_fuse_f18'  'mend_fuse_f18'  'light_match_m18'),16,4
('light_match_m19'  'mend_fuse_f19'),79,2
('mend_fuse_f19'  'mend_fuse_f19'),83,2
('mend_fuse_f19'  'light_match_m19'),79,2
('light_match_m19'  'mend_fuse_f19'  'mend_fuse_f19'),79,3
('mend_fuse_f19'  'mend_fuse_f19'  'light_match_m19'),79,3
('light_match_m19'  'mend_fuse_f19'  'mend_fuse_f19'  'light_match_m19'),79,4
('light_match_m20'  'mend_fuse_f20'),80,2
('mend_fuse_f20'  'mend_fuse_f20'),85,2
('mend_fuse_f20'  'light_match_m20'),80,2
('light_match_m20'  'mend_fuse_f20'  'mend_fuse_f20'),80,3
('mend_fuse_f20'  'mend_fuse_f20'  'light_match_m20'),80,3
('light_match_m20'  'mend_fuse_f20'  'mend_fuse_f20'  'light_match_m20'),80,4
('light_match_m23'  'mend_fuse_f23'),37,2
('mend_fuse_f23'  'mend_fuse_f23'),79,2
('mend_fuse_f23'  'light_match_m23'),37,2
('light_match_m23'  'mend_fuse_f23'  'mend_fuse_f23'),37,3
('mend_fuse_f23'  'mend_fuse_f23'  'light_match_m23'),37,3
('light_match_m23'  'mend_fuse_f23'  'mend_fuse_f23'  'light_match_m23'),37,4
('light_match_m24'  'mend_fuse_f24'),30,2
('mend_fuse_f24'  'mend_fuse_f24'),73,2
('mend_fuse_f24'  'light_match_m24'),30,2
('light_match_m24'  'mend_fuse_f24'  'mend_fuse_f24'),30,3
('mend_fuse_f24'  'mend_fuse_f24'  'light_match_m24'),30,3
('light_match_m24'  'mend_fuse_f24'  'mend_fuse_f24'  'light_match_m24'),30,4
('light_match_m25'  'mend_fuse_f25'),61,2
('mend_fuse_f25'  'mend_fuse_f25'),65,2
('mend_fuse_f25'  'light_match_m25'),61,2
('light_match_m25'  'mend_fuse_f25'  'mend_fuse_f25'),61,3
('mend_fuse_f25'  'mend_fuse_f25'  'light_match_m25'),61,3
('light_match_m25'  'mend_fuse_f25'  'mend_fuse_f25'  'light_match_m25'),61,4
('light_match_m26'  'mend_fuse_f26'),54,2
('mend_fuse_f26'  'mend_fuse_f26'),57,2
('mend_fuse_f26'  'light_match_m26'),54,2
('light_match_m26'  'mend_fuse_f26'  'mend_fuse_f26'),54,3
('mend_fuse_f26'  'mend_fuse_f26'  'light_match_m26'),54,3
('light_match_m26'  'mend_fuse_f26'  'mend_fuse_f26'  'light_match_m26'),54,4
('light_match_m27'  'mend_fuse_f27'),49,2
('mend_fuse_f27'  'mend_fuse_f27'),49,2
('mend_fuse_f27'  'light_match_m27'),49,2
('light_match_m27'  'mend_fuse_f27'  'mend_fuse_f27'),49,3
('mend_fuse_f27'  'mend_fuse_f27'  'light_match_m27'),49,3
('light_match_m27'  'mend_fuse_f27'  'mend_fuse_f27'  'light_match_m27'),49,4
('light_match_m29'  'mend_fuse_f29'),4,2
('mend_fuse_f29'  'mend_fuse_f29'),29,2
('mend_fuse_f29'  'light_match_m29'),4,2
('light_match_m29'  'mend_fuse_f29'  'mend_fuse_f29'),4,3
('mend_fuse_f29'  'mend_fuse_f29'  'light_match_m29'),4,3
('light_match_m29'  'mend_fuse_f29'  'mend_fuse_f29'  'light_match_m29'),4,4
('light_match_m3'  'light_match_m2'),14,2
('mend_fuse_f3'  'light_match_m3'  'light_match_m2'),14,3
('light_match_m3'  'light_match_m2'  'mend_fuse_f2'),14,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m2'),14,4
('mend_fuse_f3'  'light_match_m3'  'light_match_m2'  'mend_fuse_f2'),14,4
('light_match_m3'  'light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'),14,4
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m2'),14,5
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m2'  'mend_fuse_f2'),14,5
('mend_fuse_f3'  'light_match_m3'  'light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'),14,5
('light_match_m3'  'light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'),14,5
('light_match_m2'  'light_match_m3'),1,2
('mend_fuse_f2'  'light_match_m2'  'light_match_m3'),1,3
('light_match_m2'  'light_match_m3'  'mend_fuse_f3'),1,3
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'  'light_match_m3'),1,4
('mend_fuse_f2'  'light_match_m2'  'light_match_m3'  'mend_fuse_f3'),1,4
('light_match_m2'  'light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'),1,4
('light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'  'light_match_m3'),1,5
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'  'light_match_m3'  'mend_fuse_f3'),1,5
('mend_fuse_f2'  'light_match_m2'  'light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'),1,5
('light_match_m2'  'light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),1,5
('light_match_m3'  'light_match_m4'),8,2
('mend_fuse_f3'  'light_match_m3'  'light_match_m4'),4,3
('light_match_m3'  'light_match_m4'  'mend_fuse_f4'),3,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m4'),4,4
('mend_fuse_f3'  'light_match_m3'  'light_match_m4'  'mend_fuse_f4'),3,4
('light_match_m3'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),3,4
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m4'),4,5
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m4'  'mend_fuse_f4'),3,5
('mend_fuse_f3'  'light_match_m3'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),3,5
('light_match_m3'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),3,5
('light_match_m3'  'mend_fuse_f4'),6,2
('mend_fuse_f4'  'light_match_m3'),6,2
('light_match_m4'  'mend_fuse_f3'),5,2
('mend_fuse_f3'  'light_match_m4'),5,2
('light_match_m3'  'mend_fuse_f4'  'mend_fuse_f4'),6,3
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'),6,3
('mend_fuse_f4'  'light_match_m3'  'light_match_m4'),4,3
('light_match_m3'  'light_match_m4'  'mend_fuse_f3'),3,3
('light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'),5,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m4'),5,3
('light_match_m3'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'),6,4
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'  'light_match_m4'),4,4
('mend_fuse_f4'  'light_match_m3'  'light_match_m4'  'mend_fuse_f3'),3,4
('light_match_m3'  'light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'),3,4
('light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m4'),5,4
('light_match_m3'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'  'light_match_m4'),4,5
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'  'light_match_m4'  'mend_fuse_f3'),3,5
('mend_fuse_f4'  'light_match_m3'  'light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'),3,5
('light_match_m3'  'light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m4'),3,5
('light_match_m5'  'light_match_m4'),12,2
('mend_fuse_f5'  'light_match_m5'  'light_match_m4'),12,3
('light_match_m5'  'light_match_m4'  'mend_fuse_f4'),10,3
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'  'light_match_m4'),12,4
('mend_fuse_f5'  'light_match_m5'  'light_match_m4'  'mend_fuse_f4'),10,4
('light_match_m5'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),10,4
('light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'  'light_match_m4'),12,5
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'  'light_match_m4'  'mend_fuse_f4'),10,5
('mend_fuse_f5'  'light_match_m5'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),10,5
('light_match_m5'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),10,5
('light_match_m4'  'light_match_m5'),14,2
('mend_fuse_f4'  'light_match_m4'  'light_match_m5'),4,3
('light_match_m4'  'light_match_m5'  'mend_fuse_f5'),14,3
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'  'light_match_m5'),4,4
('mend_fuse_f4'  'light_match_m4'  'light_match_m5'  'mend_fuse_f5'),4,4
('light_match_m4'  'light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'),14,4
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'  'light_match_m5'),4,5
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'  'light_match_m5'  'mend_fuse_f5'),4,5
('mend_fuse_f4'  'light_match_m4'  'light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'),4,5
('light_match_m4'  'light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'),14,5
('light_match_m6'  'light_match_m7'),19,2
('mend_fuse_f6'  'light_match_m6'  'light_match_m7'),19,3
('light_match_m6'  'light_match_m7'  'mend_fuse_f7'),19,3
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'  'light_match_m7'),19,4
('mend_fuse_f6'  'light_match_m6'  'light_match_m7'  'mend_fuse_f7'),19,4
('light_match_m6'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),19,4
('light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'  'light_match_m7'),19,5
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'  'light_match_m7'  'mend_fuse_f7'),19,5
('mend_fuse_f6'  'light_match_m6'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),19,5
('light_match_m6'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),19,5
('light_match_m7'  'light_match_m6'),10,2
('mend_fuse_f7'  'light_match_m7'  'light_match_m6'),10,3
('light_match_m7'  'light_match_m6'  'mend_fuse_f6'),10,3
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'  'light_match_m6'),10,4
('mend_fuse_f7'  'light_match_m7'  'light_match_m6'  'mend_fuse_f6'),10,4
('light_match_m7'  'light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'),10,4
('light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'  'light_match_m6'),10,5
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'  'light_match_m6'  'mend_fuse_f6'),10,5
('mend_fuse_f7'  'light_match_m7'  'light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'),10,5
('light_match_m7'  'light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'),10,5
('light_match_m8'  'mend_fuse_f7'),2,2
('mend_fuse_f7'  'light_match_m8'),2,2
('light_match_m8'  'light_match_m7'),10,2
('light_match_m7'  'mend_fuse_f8'),1,2
('mend_fuse_f8'  'light_match_m7'),1,2
('light_match_m8'  'mend_fuse_f7'  'mend_fuse_f7'),2,3
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m8'),2,3
('mend_fuse_f7'  'light_match_m8'  'light_match_m7'),1,3
('light_match_m8'  'light_match_m7'  'mend_fuse_f8'),1,3
('light_match_m7'  'mend_fuse_f8'  'mend_fuse_f8'),1,3
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m7'),1,3
('light_match_m8'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m8'),2,4
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m8'  'light_match_m7'),1,4
('mend_fuse_f7'  'light_match_m8'  'light_match_m7'  'mend_fuse_f8'),1,4
('light_match_m8'  'light_match_m7'  'mend_fuse_f8'  'mend_fuse_f8'),1,4
('light_match_m7'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m7'),1,4
('light_match_m8'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m8'  'light_match_m7'),1,5
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m8'  'light_match_m7'  'mend_fuse_f8'),1,5
('mend_fuse_f7'  'light_match_m8'  'light_match_m7'  'mend_fuse_f8'  'mend_fuse_f8'),1,5
('light_match_m8'  'light_match_m7'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m7'),1,5
('mend_fuse_f8'  'light_match_m8'  'light_match_m7'),9,3
('light_match_m8'  'light_match_m7'  'mend_fuse_f7'),9,3
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m7'),9,4
('mend_fuse_f8'  'light_match_m8'  'light_match_m7'  'mend_fuse_f7'),9,4
('light_match_m8'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),9,4
('light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m7'),9,5
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m7'  'mend_fuse_f7'),9,5
('mend_fuse_f8'  'light_match_m8'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),9,5
('light_match_m8'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),9,5
('light_match_m8'  'mend_fuse_f9'),2,2
('mend_fuse_f9'  'light_match_m8'),2,2
('light_match_m8'  'light_match_m9'),18,2
('light_match_m9'  'mend_fuse_f8'),1,2
('mend_fuse_f8'  'light_match_m9'),1,2
('light_match_m8'  'mend_fuse_f9'  'mend_fuse_f9'),2,3
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m8'),2,3
('mend_fuse_f9'  'light_match_m8'  'light_match_m9'),1,3
('light_match_m8'  'light_match_m9'  'mend_fuse_f8'),1,3
('light_match_m9'  'mend_fuse_f8'  'mend_fuse_f8'),1,3
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m9'),1,3
('light_match_m8'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m8'),2,4
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m8'  'light_match_m9'),1,4
('mend_fuse_f9'  'light_match_m8'  'light_match_m9'  'mend_fuse_f8'),1,4
('light_match_m8'  'light_match_m9'  'mend_fuse_f8'  'mend_fuse_f8'),1,4
('light_match_m9'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m9'),1,4
('light_match_m8'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m8'  'light_match_m9'),1,5
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m8'  'light_match_m9'  'mend_fuse_f8'),1,5
('mend_fuse_f9'  'light_match_m8'  'light_match_m9'  'mend_fuse_f8'  'mend_fuse_f8'),1,5
('light_match_m8'  'light_match_m9'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m9'),1,5
('mend_fuse_f8'  'light_match_m8'  'light_match_m9'),17,3
('light_match_m8'  'light_match_m9'  'mend_fuse_f9'),17,3
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m9'),17,4
('mend_fuse_f8'  'light_match_m8'  'light_match_m9'  'mend_fuse_f9'),17,4
('light_match_m8'  'light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'),17,4
('light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m9'),17,5
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m9'  'mend_fuse_f9'),17,5
('mend_fuse_f8'  'light_match_m8'  'light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'),17,5
('light_match_m8'  'light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'),17,5
('light_match_m9'  'mend_fuse_f10'),2,2
('mend_fuse_f10'  'mend_fuse_f10'),84,2
('mend_fuse_f10'  'light_match_m9'),2,2
('light_match_m9'  'light_match_m10'),18,2
('light_match_m10'  'mend_fuse_f9'),2,2
('mend_fuse_f9'  'light_match_m10'),2,2
('light_match_m9'  'mend_fuse_f10'  'mend_fuse_f10'),2,3
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m9'),2,3
('mend_fuse_f10'  'light_match_m9'  'light_match_m10'),1,3
('light_match_m9'  'light_match_m10'  'mend_fuse_f9'),1,3
('light_match_m10'  'mend_fuse_f9'  'mend_fuse_f9'),2,3
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m10'),2,3
('light_match_m9'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m9'),2,4
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m9'  'light_match_m10'),1,4
('mend_fuse_f10'  'light_match_m9'  'light_match_m10'  'mend_fuse_f9'),1,4
('light_match_m9'  'light_match_m10'  'mend_fuse_f9'  'mend_fuse_f9'),1,4
('light_match_m10'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m10'),2,4
('light_match_m9'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m9'  'light_match_m10'),1,5
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m9'  'light_match_m10'  'mend_fuse_f9'),1,5
('mend_fuse_f10'  'light_match_m9'  'light_match_m10'  'mend_fuse_f9'  'mend_fuse_f9'),1,5
('light_match_m9'  'light_match_m10'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m10'),1,5
('light_match_m10'  'mend_fuse_f10'),79,2
('mend_fuse_f10'  'light_match_m10'),79,2
('mend_fuse_f9'  'light_match_m9'  'light_match_m10'),17,3
('light_match_m9'  'light_match_m10'  'mend_fuse_f10'),17,3
('light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),79,3
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),79,3
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'  'light_match_m10'),17,4
('mend_fuse_f9'  'light_match_m9'  'light_match_m10'  'mend_fuse_f10'),17,4
('light_match_m9'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),17,4
('light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),79,4
('light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'  'light_match_m10'),17,5
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'  'light_match_m10'  'mend_fuse_f10'),17,5
('mend_fuse_f9'  'light_match_m9'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),17,5
('light_match_m9'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),17,5
('light_match_m10'  'light_match_m11'),16,2
('mend_fuse_f10'  'light_match_m10'  'light_match_m11'),16,3
('light_match_m10'  'light_match_m11'  'mend_fuse_f11'),16,3
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'  'light_match_m11'),16,4
('mend_fuse_f10'  'light_match_m10'  'light_match_m11'  'mend_fuse_f11'),16,4
('light_match_m10'  'light_match_m11'  'mend_fuse_f11'  'mend_fuse_f11'),16,4
('light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'  'light_match_m11'),16,5
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'  'light_match_m11'  'mend_fuse_f11'),16,5
('mend_fuse_f10'  'light_match_m10'  'light_match_m11'  'mend_fuse_f11'  'mend_fuse_f11'),16,5
('light_match_m10'  'light_match_m11'  'mend_fuse_f11'  'mend_fuse_f11'  'light_match_m11'),16,5
('light_match_m11'  'light_match_m10'),4,2
('mend_fuse_f11'  'light_match_m11'  'light_match_m10'),4,3
('light_match_m11'  'light_match_m10'  'mend_fuse_f10'),4,3
('mend_fuse_f11'  'mend_fuse_f11'  'light_match_m11'  'light_match_m10'),4,4
('mend_fuse_f11'  'light_match_m11'  'light_match_m10'  'mend_fuse_f10'),4,4
('light_match_m11'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),4,4
('light_match_m11'  'mend_fuse_f11'  'mend_fuse_f11'  'light_match_m11'  'light_match_m10'),4,5
('mend_fuse_f11'  'mend_fuse_f11'  'light_match_m11'  'light_match_m10'  'mend_fuse_f10'),4,5
('mend_fuse_f11'  'light_match_m11'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),4,5
('light_match_m11'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),4,5
('light_match_m12'  'mend_fuse_f13'),58,2
('mend_fuse_f13'  'light_match_m12'),58,2
('light_match_m12'  'light_match_m13'),22,2
('light_match_m13'  'mend_fuse_f12'),59,2
('mend_fuse_f12'  'mend_fuse_f12'),76,2
('mend_fuse_f12'  'light_match_m13'),59,2
('light_match_m12'  'mend_fuse_f13'  'mend_fuse_f13'),58,3
('mend_fuse_f13'  'mend_fuse_f13'  'light_match_m12'),58,3
('mend_fuse_f13'  'light_match_m12'  'light_match_m13'),20,3
('light_match_m12'  'light_match_m13'  'mend_fuse_f12'),20,3
('light_match_m13'  'mend_fuse_f12'  'mend_fuse_f12'),59,3
('mend_fuse_f12'  'mend_fuse_f12'  'light_match_m13'),59,3
('light_match_m12'  'mend_fuse_f13'  'mend_fuse_f13'  'light_match_m12'),58,4
('mend_fuse_f13'  'mend_fuse_f13'  'light_match_m12'  'light_match_m13'),20,4
('mend_fuse_f13'  'light_match_m12'  'light_match_m13'  'mend_fuse_f12'),20,4
('light_match_m12'  'light_match_m13'  'mend_fuse_f12'  'mend_fuse_f12'),20,4
('light_match_m13'  'mend_fuse_f12'  'mend_fuse_f12'  'light_match_m13'),59,4
('light_match_m12'  'mend_fuse_f13'  'mend_fuse_f13'  'light_match_m12'  'light_match_m13'),20,5
