macros,positive frequency,length
('move_r0_DEPOT'  'make_treatment_r0_b0_p0'),1,2
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),2,3
('load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'),2,3
('move_r0_DEPOT'  'load_r0_b0_p0'  'move_r0_DEPOT'),2,3
('load_r0_b0_p0'  'move_r0_DEPOT'  'make_treatment_r0_b0_p0'),1,3
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),2,4
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'),2,4
('load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'  'move_r0_DEPOT'),2,4
('move_r0_DEPOT'  'load_r0_b0_p0'  'move_r0_DEPOT'  'make_treatment_r0_b0_p0'),1,4
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),2,5
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'),2,5
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'  'move_r0_DEPOT'),2,5
('load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'  'move_r0_DEPOT'  'make_treatment_r0_b0_p0'),1,5
('load_at_depot_r1_b0'  'move_r1_p0'),2,2
('move_r1_p0'  'move_r1_p0'),19,2
('move_r1_p0'  'make_treatment_r1_b0_p0'),6,2
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),3,2
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'),6,2
('load_r1_b0_p0'  'load_r1_b0_p0'),4,2
('load_r1_b0_p0'  'make_treatment_r1_b0_p0'),4,2
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'),2,3
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'),4,3
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),3,3
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),3,3
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),4,3
('load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),2,3
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'),2,4
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),2,4
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),3,4
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),2,4
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),2,4
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),2,5
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),2,5
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),2,5
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),1,5
('load_at_depot_r0_b0'  'move_r0_p1'),27,2
('move_r0_p1'  'move_r0_p1'),89,2
('move_r0_p1'  'make_treatment_r0_b0_p1'),83,2
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),51,2
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'),90,2
('load_r0_b0_p1'  'load_r0_b0_p1'),73,2
('load_r0_b0_p1'  'make_treatment_r0_b0_p1'),36,2
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'),27,3
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),59,3
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),45,3
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),51,3
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),73,3
('load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),33,3
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),27,4
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),30,4
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),45,4
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),40,4
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),33,4
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),26,5
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),30,5
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),36,5
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),10,5
('load_r0_b0_p1'  'move_r0_DEPOT'),4,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p1'),2,2
('make_treatment_r0_b0_p1'  'move_r0_DEPOT'),12,2
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'),2,3
('load_r0_b0_p1'  'move_r0_DEPOT'  'make_treatment_r0_b0_p1'),2,3
('move_r0_DEPOT'  'make_treatment_r0_b0_p1'  'move_r0_DEPOT'),2,3
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'),2,4
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'  'make_treatment_r0_b0_p1'),2,4
('load_r0_b0_p1'  'move_r0_DEPOT'  'make_treatment_r0_b0_p1'  'move_r0_DEPOT'),2,4
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'  'make_treatment_r0_b0_p1'),2,5
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'  'make_treatment_r0_b0_p1'  'move_r0_DEPOT'),2,5
('load_at_depot_r0_b0'  'move_r0_p2'),32,2
('move_r0_p2'  'move_r0_p2'),95,2
('move_r0_p2'  'make_treatment_r0_b0_p2'),84,2
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'),50,2
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'),85,2
('load_r0_b0_p2'  'load_r0_b0_p2'),80,2
('load_r0_b0_p2'  'make_treatment_r0_b0_p2'),37,2
('load_at_depot_r0_b0'  'move_r0_p2'  'move_r0_p2'),32,3
('move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'),66,3
('move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'),48,3
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'),48,3
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'),77,3
('load_r0_b0_p2'  'load_r0_b0_p2'  'make_treatment_r0_b0_p2'),34,3
('load_at_depot_r0_b0'  'move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'),32,4
('move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'),41,4
('move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'),46,4
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'),46,4
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'make_treatment_r0_b0_p2'),31,4
('load_at_depot_r0_b0'  'move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'),29,5
('move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'),39,5
('move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'),44,5
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'make_treatment_r0_b0_p2'),15,5
('load_r0_b0_p2'  'move_r0_DEPOT'),3,2
('move_r0_DEPOT'  'move_r0_DEPOT'),51,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p2'),2,2
('load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'),2,3
('load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'),2,3
('move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p2'),2,3
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'),2,4
('load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'),2,4
('load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p2'),2,4
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'),2,5
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'),2,5
('load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p2'),2,5
('load_at_depot_r1_b0'  'move_r1_p2'),2,2
('move_r1_p2'  'move_r1_p2'),18,2
('move_r1_p2'  'make_treatment_r1_b0_p2'),6,2
('make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'),4,2
('make_treatment_r1_b0_p2'  'load_r1_b0_p2'),6,2
('load_r1_b0_p2'  'load_r1_b0_p2'),8,2
('load_r1_b0_p2'  'make_treatment_r1_b0_p2'),5,2
('load_at_depot_r1_b0'  'move_r1_p2'  'move_r1_p2'),1,3
('move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'),4,3
('move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'),2,3
('make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'),3,3
('make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'),6,3
('load_r1_b0_p2'  'load_r1_b0_p2'  'make_treatment_r1_b0_p2'),5,3
('load_at_depot_r1_b0'  'move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'),1,4
('move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'),2,4
('move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'),1,4
('make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'),3,4
('make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'  'make_treatment_r1_b0_p2'),4,4
('load_at_depot_r1_b0'  'move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'),1,5
('move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'),1,5
('move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'),1,5
('make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'  'make_treatment_r1_b0_p2'),1,5
('load_at_depot_r0_b0'  'move_r0_p3'),57,2
('move_r0_p3'  'move_r0_p3'),117,2
('move_r0_p3'  'make_treatment_r0_b0_p3'),90,2
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'),73,2
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'),98,2
('load_r0_b0_p3'  'load_r0_b0_p3'),76,2
('load_r0_b0_p3'  'make_treatment_r0_b0_p3'),29,2
('load_at_depot_r0_b0'  'move_r0_p3'  'move_r0_p3'),57,3
('move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'),82,3
('move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'),68,3
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'),73,3
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'),76,3
('load_r0_b0_p3'  'load_r0_b0_p3'  'make_treatment_r0_b0_p3'),24,3
('load_at_depot_r0_b0'  'move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'),55,4
('move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'),65,4
('move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'),68,4
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'),54,4
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'make_treatment_r0_b0_p3'),24,4
('load_at_depot_r0_b0'  'move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'),55,5
('move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'),65,5
('move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'),51,5
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'make_treatment_r0_b0_p3'),10,5
('load_r0_b0_p3'  'move_r0_DEPOT'),2,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p3'),2,2
('load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'),2,3
('load_r0_b0_p3'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,3
('move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p3'),1,3
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'),2,4
('load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,4
('load_r0_b0_p3'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p3'),1,4
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,5
('load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p3'),1,5
('load_at_depot_r1_b0'  'move_r1_p3'),4,2
('move_r1_p3'  'move_r1_p3'),24,2
('move_r1_p3'  'make_treatment_r1_b0_p3'),6,2
('make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'),8,2
('make_treatment_r1_b0_p3'  'load_r1_b0_p3'),9,2
('load_r1_b0_p3'  'load_r1_b0_p3'),9,2
('load_r1_b0_p3'  'make_treatment_r1_b0_p3'),5,2
('load_at_depot_r1_b0'  'move_r1_p3'  'move_r1_p3'),4,3
('move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'),6,3
('move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'),6,3
('make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'),7,3
('make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'),8,3
('load_r1_b0_p3'  'load_r1_b0_p3'  'make_treatment_r1_b0_p3'),5,3
('load_at_depot_r1_b0'  'move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'),3,4
('move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'),6,4
('move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'),5,4
('make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'),6,4
('make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'  'make_treatment_r1_b0_p3'),5,4
('load_at_depot_r1_b0'  'move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'),3,5
('move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'),5,5
('move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'),4,5
('make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'  'make_treatment_r1_b0_p3'),3,5
('load_at_depot_r0_b0'  'move_r0_p4'),23,2
('move_r0_p4'  'move_r0_p4'),92,2
('move_r0_p4'  'make_treatment_r0_b0_p4'),77,2
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),37,2
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'),85,2
('load_r0_b0_p4'  'load_r0_b0_p4'),73,2
('load_r0_b0_p4'  'make_treatment_r0_b0_p4'),40,2
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'),23,3
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'),62,3
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),33,3
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),36,3
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),71,3
('load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),36,3
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'),23,4
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),30,4
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),33,4
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),29,4
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),34,4
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),23,5
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),30,5
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),27,5
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),11,5
('load_r0_b0_p4'  'move_r0_DEPOT'),1,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p4'),1,2
('make_treatment_r0_b0_p4'  'move_r0_DEPOT'),7,2
('load_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'),1,3
('load_r0_b0_p4'  'move_r0_DEPOT'  'make_treatment_r0_b0_p4'),1,3
('move_r0_DEPOT'  'make_treatment_r0_b0_p4'  'move_r0_DEPOT'),1,3
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'),1,4
('load_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'  'make_treatment_r0_b0_p4'),1,4
('load_r0_b0_p4'  'move_r0_DEPOT'  'make_treatment_r0_b0_p4'  'move_r0_DEPOT'),1,4
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'  'make_treatment_r0_b0_p4'),1,5
('load_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'  'make_treatment_r0_b0_p4'  'move_r0_DEPOT'),1,5
('load_at_depot_r1_b0'  'move_r1_p4'),2,2
('move_r1_p4'  'move_r1_p4'),18,2
('move_r1_p4'  'make_treatment_r1_b0_p4'),4,2
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),6,2
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'),9,2
('load_r1_b0_p4'  'load_r1_b0_p4'),9,2
('load_r1_b0_p4'  'make_treatment_r1_b0_p4'),6,2
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'),2,3
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'),4,3
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),3,3
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),6,3
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),9,3
('load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),6,3
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'),2,4
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),3,4
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),3,4
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),6,4
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),6,4
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),2,5
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),3,5
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),3,5
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),3,5
('load_at_depot_r1_b0'  'move_r1_p5'),3,2
('move_r1_p5'  'move_r1_p5'),20,2
('move_r1_p5'  'make_treatment_r1_b0_p5'),8,2
('make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'),5,2
('make_treatment_r1_b0_p5'  'load_r1_b0_p5'),10,2
('load_r1_b0_p5'  'load_r1_b0_p5'),11,2
('load_r1_b0_p5'  'make_treatment_r1_b0_p5'),10,2
('load_at_depot_r1_b0'  'move_r1_p5'  'move_r1_p5'),2,3
('move_r1_p5'  'move_r1_p5'  'make_treatment_r1_b0_p5'),6,3
('move_r1_p5'  'make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'),5,3
('make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'  'load_r1_b0_p5'),5,3
('make_treatment_r1_b0_p5'  'load_r1_b0_p5'  'load_r1_b0_p5'),10,3
('load_r1_b0_p5'  'load_r1_b0_p5'  'make_treatment_r1_b0_p5'),10,3
('load_at_depot_r1_b0'  'move_r1_p5'  'move_r1_p5'  'make_treatment_r1_b0_p5'),2,4
('move_r1_p5'  'move_r1_p5'  'make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'),3,4
('move_r1_p5'  'make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'  'load_r1_b0_p5'),5,4
('make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'  'load_r1_b0_p5'  'load_r1_b0_p5'),5,4
('make_treatment_r1_b0_p5'  'load_r1_b0_p5'  'load_r1_b0_p5'  'make_treatment_r1_b0_p5'),9,4
