macros,positive frequency,length
('load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,4
('load_r0_b0_p0'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p0'),1,4
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),2,5
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,5
('load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p0'),1,5
('load_at_depot_r1_b0'  'move_r1_p1'),5,2
('move_r1_p1'  'move_r1_p1'),39,2
('move_r1_p1'  'make_treatment_r1_b0_p1'),30,2
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'),18,2
('make_treatment_r1_b0_p1'  'load_r1_b0_p1'),41,2
('load_r1_b0_p1'  'load_r1_b0_p1'),40,2
('load_r1_b0_p1'  'make_treatment_r1_b0_p1'),27,2
('load_at_depot_r1_b0'  'move_r1_p1'  'move_r1_p1'),5,3
('move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'),27,3
('move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'),14,3
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'),18,3
('make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'),38,3
('load_r1_b0_p1'  'load_r1_b0_p1'  'make_treatment_r1_b0_p1'),27,3
('load_at_depot_r1_b0'  'move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'),5,4
('move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'),14,4
('move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'),14,4
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'),17,4
('make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'  'make_treatment_r1_b0_p1'),26,4
('load_at_depot_r1_b0'  'move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'),5,5
('move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'),14,5
('move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'),13,5
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'  'make_treatment_r1_b0_p1'),10,5
('load_at_depot_r0_b0'  'move_r0_p1'),23,2
('move_r0_p1'  'move_r0_p1'),81,2
('move_r0_p1'  'make_treatment_r0_b0_p1'),46,2
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),31,2
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'),51,2
('load_r0_b0_p1'  'load_r0_b0_p1'),45,2
('load_r0_b0_p1'  'make_treatment_r0_b0_p1'),23,2
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'),22,3
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),41,3
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),27,3
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),31,3
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),45,3
('load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),20,3
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),22,4
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),26,4
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),27,4
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),28,4
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),20,4
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),22,5
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),26,5
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),24,5
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),8,5
('load_at_depot_r0_b0'  'move_r0_p3'),23,2
('move_r0_p3'  'move_r0_p3'),89,2
('move_r0_p3'  'make_treatment_r0_b0_p3'),54,2
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'),35,2
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'),56,2
('load_r0_b0_p3'  'load_r0_b0_p3'),51,2
('load_r0_b0_p3'  'make_treatment_r0_b0_p3'),29,2
('load_at_depot_r0_b0'  'move_r0_p3'  'move_r0_p3'),23,3
('move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'),46,3
('move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'),33,3
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'),35,3
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'),51,3
('load_r0_b0_p3'  'load_r0_b0_p3'  'make_treatment_r0_b0_p3'),27,3
('load_at_depot_r0_b0'  'move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'),23,4
('move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'),28,4
('move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'),33,4
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'),33,4
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'make_treatment_r0_b0_p3'),27,4
('load_at_depot_r0_b0'  'move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'),23,5
('move_r0_p3'  'move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'),28,5
('move_r0_p3'  'make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'),31,5
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'make_treatment_r0_b0_p3'),14,5
('load_r0_b0_p3'  'move_r0_DEPOT'),4,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p3'),3,2
('make_treatment_r0_b0_p3'  'move_r0_DEPOT'),10,2
('load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'),3,3
('load_r0_b0_p3'  'move_r0_DEPOT'  'make_treatment_r0_b0_p3'),2,3
('move_r0_DEPOT'  'make_treatment_r0_b0_p3'  'move_r0_DEPOT'),2,3
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'),3,4
('load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'  'make_treatment_r0_b0_p3'),2,4
('load_r0_b0_p3'  'move_r0_DEPOT'  'make_treatment_r0_b0_p3'  'move_r0_DEPOT'),2,4
('make_treatment_r0_b0_p3'  'make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'),3,5
('make_treatment_r0_b0_p3'  'load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'  'make_treatment_r0_b0_p3'),2,5
('load_r0_b0_p3'  'load_r0_b0_p3'  'move_r0_DEPOT'  'make_treatment_r0_b0_p3'  'move_r0_DEPOT'),2,5
('load_at_depot_r1_b0'  'move_r1_p3'),10,2
('move_r1_p3'  'move_r1_p3'),38,2
('move_r1_p3'  'make_treatment_r1_b0_p3'),38,2
('make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'),21,2
('make_treatment_r1_b0_p3'  'load_r1_b0_p3'),43,2
('load_r1_b0_p3'  'load_r1_b0_p3'),43,2
('load_r1_b0_p3'  'make_treatment_r1_b0_p3'),28,2
('load_at_depot_r1_b0'  'move_r1_p3'  'move_r1_p3'),9,3
('move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'),29,3
('move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'),15,3
('make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'),20,3
('make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'),41,3
('load_r1_b0_p3'  'load_r1_b0_p3'  'make_treatment_r1_b0_p3'),27,3
('load_at_depot_r1_b0'  'move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'),8,4
('move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'),11,4
('move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'),15,4
('make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'),20,4
('make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'  'make_treatment_r1_b0_p3'),26,4
('load_at_depot_r1_b0'  'move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'),8,5
('move_r1_p3'  'move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'),11,5
('move_r1_p3'  'make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'),15,5
('make_treatment_r1_b0_p3'  'make_treatment_r1_b0_p3'  'load_r1_b0_p3'  'load_r1_b0_p3'  'make_treatment_r1_b0_p3'),11,5
('load_at_depot_r0_b0'  'move_r0_p4'),23,2
('move_r0_p4'  'move_r0_p4'),93,2
('move_r0_p4'  'make_treatment_r0_b0_p4'),52,2
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),37,2
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'),55,2
('load_r0_b0_p4'  'load_r0_b0_p4'),49,2
('load_r0_b0_p4'  'make_treatment_r0_b0_p4'),28,2
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'),22,3
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'),46,3
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),34,3
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),37,3
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),49,3
('load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),26,3
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'),22,4
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),28,4
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),34,4
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),32,4
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),26,4
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),22,5
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),28,5
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),29,5
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),14,5
('load_at_depot_r1_b0'  'move_r1_p4'),18,2
('move_r1_p4'  'move_r1_p4'),43,2
('move_r1_p4'  'make_treatment_r1_b0_p4'),33,2
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),27,2
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'),42,2
('load_r1_b0_p4'  'load_r1_b0_p4'),37,2
('load_r1_b0_p4'  'make_treatment_r1_b0_p4'),17,2
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'),18,3
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'),33,3
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),23,3
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),27,3
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),37,3
('load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),16,3
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'),18,4
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),23,4
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),23,4
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),24,4
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),16,4
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),18,5
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),23,5
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),20,5
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),8,5
('load_at_depot_r0_b0'  'move_r0_p5'),22,2
('move_r0_p5'  'move_r0_p5'),90,2
('move_r0_p5'  'make_treatment_r0_b0_p5'),47,2
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'),28,2
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'),51,2
('load_r0_b0_p5'  'load_r0_b0_p5'),45,2
('load_r0_b0_p5'  'make_treatment_r0_b0_p5'),26,2
('load_at_depot_r0_b0'  'move_r0_p5'  'move_r0_p5'),22,3
('move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'),42,3
('move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'),24,3
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'),28,3
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'),45,3
('load_r0_b0_p5'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),24,3
('load_at_depot_r0_b0'  'move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'),22,4
('move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'),23,4
('move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'),24,4
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'),23,4
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),24,4
('load_at_depot_r0_b0'  'move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'),22,5
('move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'),23,5
('move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'),19,5
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),12,5
('load_r0_b0_p5'  'move_r0_DEPOT'),2,2
('move_r0_DEPOT'  'load_r0_b0_p5'),1,2
('make_treatment_r0_b0_p5'  'move_r0_DEPOT'),9,2
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'),1,3
('load_r0_b0_p5'  'move_r0_DEPOT'  'load_r0_b0_p5'),1,3
('move_r0_DEPOT'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),1,3
('load_r0_b0_p5'  'make_treatment_r0_b0_p5'  'move_r0_DEPOT'),8,3
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'),1,4
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'  'load_r0_b0_p5'),1,4
('load_r0_b0_p5'  'move_r0_DEPOT'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),1,4
('move_r0_DEPOT'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'  'move_r0_DEPOT'),1,4
('move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'  'load_r0_b0_p5'),1,5
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),1,5
('load_r0_b0_p5'  'move_r0_DEPOT'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'  'move_r0_DEPOT'),1,5
('load_r0_b0_p1'  'move_r0_p0'),9,2
('move_r0_p0'  'make_treatment_r0_b0_p1'),2,2
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'),9,2
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_p0'),7,3
('load_r0_b0_p1'  'move_r0_p0'  'move_r0_p0'),6,3
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p1'),1,3
('move_r0_p0'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'),1,3
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),1,3
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_p0'),7,4
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_p0'  'move_r0_p0'),6,4
('load_r0_b0_p1'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p1'),1,4
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'),1,4
('move_r0_p0'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),1,4
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),1,4
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_p0'),6,5
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_p0'  'move_r0_p0'),6,5
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p1'),1,5
('load_r0_b0_p1'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'),1,5
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),1,5
('move_r0_p0'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),1,5
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),1,5
('load_r0_b0_p0'  'move_r0_p1'),2,2
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'),8,2
('load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_p1'),2,3
('load_r0_b0_p0'  'move_r0_p1'  'move_r0_p1'),2,3
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'),2,3
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'),2,3
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),2,3
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_p1'),2,4
('load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_p1'  'move_r0_p1'),2,4
('load_r0_b0_p0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),2,4
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'),2,4
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'),2,4
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),2,4
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),2,4
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_p1'),2,5
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_p1'  'move_r0_p1'),2,5
('load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),2,5
('load_r0_b0_p0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'),2,5
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'),2,5
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),2,5
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),2,5
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),1,5
('load_at_depot_r1_b0'  'move_r1_p0'),11,2
('move_r1_p0'  'move_r1_p0'),38,2
('move_r1_p0'  'make_treatment_r1_b0_p0'),34,2
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),22,2
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'),43,2
('load_r1_b0_p0'  'move_r1_p1'),4,2
('move_r1_p1'  'load_r1_b0_p0'),2,2
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p0'),6,2
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p1'),6,2
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'),11,3
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'),32,3
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),19,3
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),22,3
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'move_r1_p1'),2,3
('load_r1_b0_p0'  'move_r1_p1'  'load_r1_b0_p0'),2,3
('move_r1_p1'  'load_r1_b0_p0'  'move_r1_p1'),1,3
('load_r1_b0_p0'  'move_r1_p1'  'make_treatment_r1_b0_p1'),1,3
