macros,positive frequency,length
('load_r1_b0_p0'  'make_treatment_r1_b0_p0'),19,2
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'),3,3
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'),23,3
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),5,3
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),9,3
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),26,3
('load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),16,3
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'),3,4
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),4,4
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),5,4
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),8,4
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),16,4
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),3,5
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),4,5
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),4,5
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),2,5
('load_at_depot_r0_b0'  'move_r0_p1'),34,2
('move_r0_p1'  'move_r0_p1'),92,2
('move_r0_p1'  'make_treatment_r0_b0_p1'),64,2
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),40,2
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'),67,2
('load_r0_b0_p1'  'load_r0_b0_p1'),60,2
('load_r0_b0_p1'  'make_treatment_r0_b0_p1'),31,2
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'),34,3
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),55,3
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),37,3
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),40,3
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),60,3
('load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),29,3
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),34,4
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),36,4
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),37,4
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),35,4
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),29,4
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),34,5
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),36,5
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),32,5
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'make_treatment_r0_b0_p1'),10,5
('load_r0_b0_p1'  'move_r0_DEPOT'),2,2
('move_r0_DEPOT'  'move_r0_DEPOT'),53,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p1'),1,2
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'),1,3
('load_r0_b0_p1'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,3
('move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p1'),1,3
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'),1,4
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,4
('load_r0_b0_p1'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p1'),1,4
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,5
('load_r0_b0_p1'  'load_r0_b0_p1'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p1'),1,5
('load_at_depot_r1_b0'  'move_r1_p1'),5,2
('move_r1_p1'  'move_r1_p1'),26,2
('move_r1_p1'  'make_treatment_r1_b0_p1'),20,2
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'),21,2
('make_treatment_r1_b0_p1'  'load_r1_b0_p1'),29,2
('load_r1_b0_p1'  'load_r1_b0_p1'),26,2
('load_r1_b0_p1'  'make_treatment_r1_b0_p1'),10,2
('load_at_depot_r1_b0'  'move_r1_p1'  'move_r1_p1'),5,3
('move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'),15,3
('move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'),13,3
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'),21,3
('make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'),26,3
('load_r1_b0_p1'  'load_r1_b0_p1'  'make_treatment_r1_b0_p1'),8,3
('load_at_depot_r1_b0'  'move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'),5,4
('move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'),9,4
('move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'),13,4
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'),20,4
('make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'  'make_treatment_r1_b0_p1'),8,4
('load_at_depot_r1_b0'  'move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'),5,5
('move_r1_p1'  'move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'),9,5
('move_r1_p1'  'make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'),12,5
('make_treatment_r1_b0_p1'  'make_treatment_r1_b0_p1'  'load_r1_b0_p1'  'load_r1_b0_p1'  'make_treatment_r1_b0_p1'),3,5
('load_at_depot_r0_b0'  'move_r0_p2'),25,2
('move_r0_p2'  'move_r0_p2'),88,2
('move_r0_p2'  'make_treatment_r0_b0_p2'),62,2
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'),32,2
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'),65,2
('load_r0_b0_p2'  'load_r0_b0_p2'),53,2
('load_r0_b0_p2'  'make_treatment_r0_b0_p2'),29,2
('load_at_depot_r0_b0'  'move_r0_p2'  'move_r0_p2'),25,3
('move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'),53,3
('move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'),29,3
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'),32,3
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'),53,3
('load_r0_b0_p2'  'load_r0_b0_p2'  'make_treatment_r0_b0_p2'),27,3
('load_at_depot_r0_b0'  'move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'),25,4
('move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'),26,4
('move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'),29,4
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'),23,4
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'make_treatment_r0_b0_p2'),27,4
('load_at_depot_r0_b0'  'move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'),25,5
('move_r0_p2'  'move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'),26,5
('move_r0_p2'  'make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'),21,5
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'make_treatment_r0_b0_p2'),9,5
('load_r0_b0_p2'  'move_r0_DEPOT'),1,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p2'),1,2
('load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'),1,3
('load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,3
('move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p2'),1,3
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'),1,4
('load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,4
('load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p2'),1,4
('make_treatment_r0_b0_p2'  'make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p2'  'load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,5
('load_r0_b0_p2'  'load_r0_b0_p2'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p2'),1,5
('load_at_depot_r1_b0'  'move_r1_p2'),5,2
('move_r1_p2'  'move_r1_p2'),27,2
('move_r1_p2'  'make_treatment_r1_b0_p2'),20,2
('make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'),14,2
('make_treatment_r1_b0_p2'  'load_r1_b0_p2'),29,2
('load_r1_b0_p2'  'load_r1_b0_p2'),23,2
('load_r1_b0_p2'  'make_treatment_r1_b0_p2'),12,2
('load_at_depot_r1_b0'  'move_r1_p2'  'move_r1_p2'),5,3
('move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'),19,3
('move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'),7,3
('make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'),14,3
('make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'),23,3
('load_r1_b0_p2'  'load_r1_b0_p2'  'make_treatment_r1_b0_p2'),11,3
('load_at_depot_r1_b0'  'move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'),5,4
('move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'),6,4
('move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'),7,4
('make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'),10,4
('make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'  'make_treatment_r1_b0_p2'),11,4
('load_at_depot_r1_b0'  'move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'),5,5
('move_r1_p2'  'move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'),6,5
('move_r1_p2'  'make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'),6,5
('make_treatment_r1_b0_p2'  'make_treatment_r1_b0_p2'  'load_r1_b0_p2'  'load_r1_b0_p2'  'make_treatment_r1_b0_p2'),4,5
('load_at_depot_r0_b0'  'move_r0_p4'),29,2
('move_r0_p4'  'move_r0_p4'),90,2
('move_r0_p4'  'make_treatment_r0_b0_p4'),64,2
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),40,2
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'),70,2
('load_r0_b0_p4'  'load_r0_b0_p4'),62,2
('load_r0_b0_p4'  'make_treatment_r0_b0_p4'),38,2
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'),29,3
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'),57,3
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),33,3
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),39,3
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),61,3
('load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),36,3
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'),29,4
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),32,4
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),33,4
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),31,4
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),35,4
('load_at_depot_r0_b0'  'move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'),29,5
('move_r0_p4'  'move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'),32,5
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'),25,5
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),14,5
('load_r0_b0_p4'  'move_r0_DEPOT'),2,2
('move_r0_DEPOT'  'load_r0_b0_p4'),1,2
('make_treatment_r0_b0_p4'  'move_r0_DEPOT'),4,2
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'),1,3
('load_r0_b0_p4'  'move_r0_DEPOT'  'load_r0_b0_p4'),1,3
('move_r0_DEPOT'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),1,3
('load_r0_b0_p4'  'make_treatment_r0_b0_p4'  'move_r0_DEPOT'),4,3
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'),1,4
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'  'load_r0_b0_p4'),1,4
('load_r0_b0_p4'  'move_r0_DEPOT'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),1,4
('move_r0_DEPOT'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'  'move_r0_DEPOT'),1,4
('move_r0_p4'  'make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p4'  'make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'  'load_r0_b0_p4'),1,5
('make_treatment_r0_b0_p4'  'load_r0_b0_p4'  'move_r0_DEPOT'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'),1,5
('load_r0_b0_p4'  'move_r0_DEPOT'  'load_r0_b0_p4'  'make_treatment_r0_b0_p4'  'move_r0_DEPOT'),1,5
('load_at_depot_r1_b0'  'move_r1_p4'),3,2
('move_r1_p4'  'move_r1_p4'),24,2
('move_r1_p4'  'make_treatment_r1_b0_p4'),21,2
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),12,2
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'),23,2
('load_r1_b0_p4'  'load_r1_b0_p4'),21,2
('load_r1_b0_p4'  'make_treatment_r1_b0_p4'),10,2
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'),3,3
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'),17,3
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),10,3
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),12,3
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),21,3
('load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),10,3
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'),3,4
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),6,4
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),10,4
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),10,4
('make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),10,4
('load_at_depot_r1_b0'  'move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'),3,5
('move_r1_p4'  'move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'),6,5
('move_r1_p4'  'make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'),10,5
('make_treatment_r1_b0_p4'  'make_treatment_r1_b0_p4'  'load_r1_b0_p4'  'load_r1_b0_p4'  'make_treatment_r1_b0_p4'),1,5
('load_at_depot_r0_b0'  'move_r0_p5'),28,2
('move_r0_p5'  'move_r0_p5'),98,2
('move_r0_p5'  'make_treatment_r0_b0_p5'),68,2
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'),38,2
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'),72,2
('load_r0_b0_p5'  'load_r0_b0_p5'),61,2
('load_r0_b0_p5'  'make_treatment_r0_b0_p5'),26,2
('load_at_depot_r0_b0'  'move_r0_p5'  'move_r0_p5'),28,3
('move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'),60,3
('move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'),35,3
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'),38,3
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'),61,3
('load_r0_b0_p5'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),23,3
('load_at_depot_r0_b0'  'move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'),27,4
('move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'),30,4
('move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'),35,4
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'),29,4
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),23,4
('load_at_depot_r0_b0'  'move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'),27,5
('move_r0_p5'  'move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'),30,5
('move_r0_p5'  'make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'),26,5
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'  'make_treatment_r0_b0_p5'),11,5
('load_r0_b0_p5'  'move_r0_DEPOT'),1,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p5'),1,2
('load_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'),1,3
('load_r0_b0_p5'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,3
('move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p5'),1,3
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'),1,4
('load_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,4
('load_r0_b0_p5'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p5'),1,4
('make_treatment_r0_b0_p5'  'make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p5'  'load_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,5
('load_r0_b0_p5'  'load_r0_b0_p5'  'move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p5'),1,5
('load_at_depot_r1_b0'  'move_r1_p5'),1,2
('move_r1_p5'  'move_r1_p5'),24,2
('move_r1_p5'  'make_treatment_r1_b0_p5'),11,2
('make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'),12,2
('make_treatment_r1_b0_p5'  'load_r1_b0_p5'),23,2
('load_r1_b0_p5'  'load_r1_b0_p5'),23,2
('load_r1_b0_p5'  'make_treatment_r1_b0_p5'),13,2
('load_at_depot_r1_b0'  'move_r1_p5'  'move_r1_p5'),1,3
('move_r1_p5'  'move_r1_p5'  'make_treatment_r1_b0_p5'),10,3
('move_r1_p5'  'make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'),3,3
('make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'  'load_r1_b0_p5'),12,3
('make_treatment_r1_b0_p5'  'load_r1_b0_p5'  'load_r1_b0_p5'),22,3
('load_r1_b0_p5'  'load_r1_b0_p5'  'make_treatment_r1_b0_p5'),13,3
('load_at_depot_r1_b0'  'move_r1_p5'  'move_r1_p5'  'make_treatment_r1_b0_p5'),1,4
('move_r1_p5'  'move_r1_p5'  'make_treatment_r1_b0_p5'  'make_treatment_r1_b0_p5'),3,4
