macros,positive frequency,length
('mend_fuse_f13'  'mend_fuse_f13'),85,2
('mend_fuse_f13'  'light_match_m13'),81,2
('light_match_m13'  'mend_fuse_f13'  'mend_fuse_f13'),81,3
('mend_fuse_f13'  'mend_fuse_f13'  'light_match_m13'),81,3
('light_match_m13'  'mend_fuse_f13'  'mend_fuse_f13'  'light_match_m13'),81,4
('light_match_m14'  'mend_fuse_f14'),84,2
('mend_fuse_f14'  'mend_fuse_f14'),89,2
('mend_fuse_f14'  'light_match_m14'),84,2
('light_match_m14'  'mend_fuse_f14'  'mend_fuse_f14'),84,3
('mend_fuse_f14'  'mend_fuse_f14'  'light_match_m14'),84,3
('light_match_m14'  'mend_fuse_f14'  'mend_fuse_f14'  'light_match_m14'),84,4
('light_match_m15'  'mend_fuse_f15'),79,2
('mend_fuse_f15'  'mend_fuse_f15'),85,2
('mend_fuse_f15'  'light_match_m15'),79,2
('light_match_m15'  'mend_fuse_f15'  'mend_fuse_f15'),79,3
('mend_fuse_f15'  'mend_fuse_f15'  'light_match_m15'),79,3
('light_match_m15'  'mend_fuse_f15'  'mend_fuse_f15'  'light_match_m15'),79,4
('light_match_m17'  'mend_fuse_f17'),73,2
('mend_fuse_f17'  'mend_fuse_f17'),77,2
('mend_fuse_f17'  'light_match_m17'),73,2
('light_match_m17'  'mend_fuse_f17'  'mend_fuse_f17'),73,3
('mend_fuse_f17'  'mend_fuse_f17'  'light_match_m17'),73,3
('light_match_m17'  'mend_fuse_f17'  'mend_fuse_f17'  'light_match_m17'),73,4
('light_match_m18'  'mend_fuse_f18'),74,2
('mend_fuse_f18'  'mend_fuse_f18'),79,2
('mend_fuse_f18'  'light_match_m18'),74,2
('light_match_m18'  'mend_fuse_f18'  'mend_fuse_f18'),74,3
('mend_fuse_f18'  'mend_fuse_f18'  'light_match_m18'),74,3
('light_match_m18'  'mend_fuse_f18'  'mend_fuse_f18'  'light_match_m18'),74,4
('light_match_m20'  'mend_fuse_f20'),71,2
('mend_fuse_f20'  'mend_fuse_f20'),75,2
('mend_fuse_f20'  'light_match_m20'),71,2
('light_match_m20'  'mend_fuse_f20'  'mend_fuse_f20'),71,3
('mend_fuse_f20'  'mend_fuse_f20'  'light_match_m20'),71,3
('light_match_m20'  'mend_fuse_f20'  'mend_fuse_f20'  'light_match_m20'),71,4
('light_match_m21'  'mend_fuse_f21'),70,2
('mend_fuse_f21'  'mend_fuse_f21'),75,2
('mend_fuse_f21'  'light_match_m21'),70,2
('light_match_m21'  'mend_fuse_f21'  'mend_fuse_f21'),70,3
('mend_fuse_f21'  'mend_fuse_f21'  'light_match_m21'),70,3
('light_match_m21'  'mend_fuse_f21'  'mend_fuse_f21'  'light_match_m21'),70,4
('light_match_m22'  'mend_fuse_f22'),66,2
('mend_fuse_f22'  'mend_fuse_f22'),73,2
('mend_fuse_f22'  'light_match_m22'),66,2
('light_match_m22'  'mend_fuse_f22'  'mend_fuse_f22'),66,3
('mend_fuse_f22'  'mend_fuse_f22'  'light_match_m22'),66,3
('light_match_m22'  'mend_fuse_f22'  'mend_fuse_f22'  'light_match_m22'),66,4
('light_match_m23'  'mend_fuse_f23'),16,2
('mend_fuse_f23'  'mend_fuse_f23'),69,2
('mend_fuse_f23'  'light_match_m23'),16,2
('light_match_m23'  'mend_fuse_f23'  'mend_fuse_f23'),16,3
('mend_fuse_f23'  'mend_fuse_f23'  'light_match_m23'),16,3
('light_match_m23'  'mend_fuse_f23'  'mend_fuse_f23'  'light_match_m23'),16,4
('light_match_m27'  'mend_fuse_f27'),45,2
('mend_fuse_f27'  'mend_fuse_f27'),51,2
('mend_fuse_f27'  'light_match_m27'),45,2
('light_match_m27'  'mend_fuse_f27'  'mend_fuse_f27'),45,3
('mend_fuse_f27'  'mend_fuse_f27'  'light_match_m27'),45,3
('light_match_m27'  'mend_fuse_f27'  'mend_fuse_f27'  'light_match_m27'),45,4
('light_match_m28'  'mend_fuse_f28'),36,2
('mend_fuse_f28'  'mend_fuse_f28'),41,2
('mend_fuse_f28'  'light_match_m28'),36,2
('light_match_m28'  'mend_fuse_f28'  'mend_fuse_f28'),36,3
('mend_fuse_f28'  'mend_fuse_f28'  'light_match_m28'),36,3
('light_match_m28'  'mend_fuse_f28'  'mend_fuse_f28'  'light_match_m28'),36,4
('light_match_m29'  'mend_fuse_f29'),27,2
('mend_fuse_f29'  'mend_fuse_f29'),31,2
('mend_fuse_f29'  'light_match_m29'),27,2
('light_match_m29'  'mend_fuse_f29'  'mend_fuse_f29'),27,3
('mend_fuse_f29'  'mend_fuse_f29'  'light_match_m29'),27,3
('light_match_m29'  'mend_fuse_f29'  'mend_fuse_f29'  'light_match_m29'),27,4
('light_match_m30'  'mend_fuse_f30'),16,2
('mend_fuse_f30'  'mend_fuse_f30'),17,2
('mend_fuse_f30'  'light_match_m30'),16,2
('light_match_m30'  'mend_fuse_f30'  'mend_fuse_f30'),16,3
('mend_fuse_f30'  'mend_fuse_f30'  'light_match_m30'),16,3
('light_match_m30'  'mend_fuse_f30'  'mend_fuse_f30'  'light_match_m30'),16,4
('light_match_m1'  'mend_fuse_f2'),2,2
('mend_fuse_f2'  'light_match_m1'),2,2
('light_match_m1'  'light_match_m2'),5,2
('light_match_m2'  'mend_fuse_f1'),9,2
('mend_fuse_f1'  'light_match_m2'),9,2
('light_match_m1'  'mend_fuse_f2'  'mend_fuse_f2'),2,3
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m1'),2,3
('mend_fuse_f2'  'light_match_m1'  'light_match_m2'),2,3
('light_match_m1'  'light_match_m2'  'mend_fuse_f1'),3,3
('light_match_m2'  'mend_fuse_f1'  'mend_fuse_f1'),9,3
('mend_fuse_f1'  'mend_fuse_f1'  'light_match_m2'),9,3
('light_match_m1'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m1'),2,4
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m1'  'light_match_m2'),2,4
('mend_fuse_f2'  'light_match_m1'  'light_match_m2'  'mend_fuse_f1'),1,4
('light_match_m1'  'light_match_m2'  'mend_fuse_f1'  'mend_fuse_f1'),3,4
('light_match_m2'  'mend_fuse_f1'  'mend_fuse_f1'  'light_match_m2'),9,4
('light_match_m1'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m1'  'light_match_m2'),2,5
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m1'  'light_match_m2'  'mend_fuse_f1'),1,5
('mend_fuse_f2'  'light_match_m1'  'light_match_m2'  'mend_fuse_f1'  'mend_fuse_f1'),1,5
('light_match_m1'  'light_match_m2'  'mend_fuse_f1'  'mend_fuse_f1'  'light_match_m2'),3,5
('mend_fuse_f1'  'light_match_m1'  'light_match_m2'),1,3
('light_match_m1'  'light_match_m2'  'mend_fuse_f2'),1,3
('mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'  'light_match_m2'),1,4
('mend_fuse_f1'  'light_match_m1'  'light_match_m2'  'mend_fuse_f2'),1,4
('light_match_m1'  'light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'),1,4
('light_match_m1'  'mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'  'light_match_m2'),1,5
('mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'  'light_match_m2'  'mend_fuse_f2'),1,5
('mend_fuse_f1'  'light_match_m1'  'light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'),1,5
('light_match_m1'  'light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'),1,5
('light_match_m2'  'light_match_m3'),5,2
('mend_fuse_f2'  'light_match_m2'  'light_match_m3'),1,3
('light_match_m2'  'light_match_m3'  'mend_fuse_f3'),2,3
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'  'light_match_m3'),1,4
('mend_fuse_f2'  'light_match_m2'  'light_match_m3'  'mend_fuse_f3'),1,4
('light_match_m2'  'light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'),2,4
('light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'  'light_match_m3'),1,5
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'  'light_match_m3'  'mend_fuse_f3'),1,5
('mend_fuse_f2'  'light_match_m2'  'light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'),1,5
('light_match_m2'  'light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),2,5
('light_match_m3'  'mend_fuse_f2'),5,2
('mend_fuse_f2'  'light_match_m3'),5,2
('light_match_m3'  'light_match_m2'),10,2
('light_match_m2'  'mend_fuse_f3'),4,2
('mend_fuse_f3'  'light_match_m2'),4,2
('light_match_m3'  'mend_fuse_f2'  'mend_fuse_f2'),5,3
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m3'),5,3
('mend_fuse_f2'  'light_match_m3'  'light_match_m2'),3,3
('light_match_m3'  'light_match_m2'  'mend_fuse_f3'),3,3
('light_match_m2'  'mend_fuse_f3'  'mend_fuse_f3'),4,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m2'),4,3
('light_match_m3'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m3'),5,4
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m3'  'light_match_m2'),3,4
('mend_fuse_f2'  'light_match_m3'  'light_match_m2'  'mend_fuse_f3'),2,4
('light_match_m3'  'light_match_m2'  'mend_fuse_f3'  'mend_fuse_f3'),3,4
('light_match_m2'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m2'),4,4
('light_match_m3'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m3'  'light_match_m2'),3,5
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m3'  'light_match_m2'  'mend_fuse_f3'),2,5
('mend_fuse_f2'  'light_match_m3'  'light_match_m2'  'mend_fuse_f3'  'mend_fuse_f3'),2,5
('light_match_m3'  'light_match_m2'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m2'),3,5
('light_match_m3'  'light_match_m4'),11,2
('light_match_m4'  'mend_fuse_f4'),20,2
('mend_fuse_f4'  'mend_fuse_f4'),54,2
('mend_fuse_f4'  'light_match_m4'),20,2
('mend_fuse_f3'  'light_match_m3'  'light_match_m4'),7,3
('light_match_m3'  'light_match_m4'  'mend_fuse_f4'),5,3
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),20,3
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),20,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m4'),7,4
('mend_fuse_f3'  'light_match_m3'  'light_match_m4'  'mend_fuse_f4'),4,4
('light_match_m3'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),5,4
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),20,4
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m4'),7,5
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'  'light_match_m4'  'mend_fuse_f4'),4,5
('mend_fuse_f3'  'light_match_m3'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),4,5
('light_match_m3'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),5,5
('light_match_m3'  'mend_fuse_f4'),6,2
('mend_fuse_f4'  'light_match_m3'),6,2
('light_match_m4'  'mend_fuse_f3'),6,2
('mend_fuse_f3'  'light_match_m4'),6,2
('light_match_m3'  'mend_fuse_f4'  'mend_fuse_f4'),6,3
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'),6,3
('mend_fuse_f4'  'light_match_m3'  'light_match_m4'),2,3
('light_match_m3'  'light_match_m4'  'mend_fuse_f3'),2,3
('light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'),6,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m4'),6,3
('light_match_m3'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'),6,4
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'  'light_match_m4'),2,4
('mend_fuse_f4'  'light_match_m3'  'light_match_m4'  'mend_fuse_f3'),1,4
('light_match_m3'  'light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'),2,4
('light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m4'),6,4
('light_match_m3'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'  'light_match_m4'),2,5
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m3'  'light_match_m4'  'mend_fuse_f3'),1,5
('mend_fuse_f4'  'light_match_m3'  'light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'),1,5
('light_match_m3'  'light_match_m4'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m4'),2,5
('light_match_m5'  'mend_fuse_f4'),19,2
('mend_fuse_f4'  'light_match_m5'),19,2
('light_match_m5'  'light_match_m4'),9,2
('light_match_m4'  'mend_fuse_f5'),5,2
('mend_fuse_f5'  'light_match_m4'),5,2
('light_match_m5'  'mend_fuse_f4'  'mend_fuse_f4'),19,3
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m5'),19,3
('mend_fuse_f4'  'light_match_m5'  'light_match_m4'),4,3
('light_match_m5'  'light_match_m4'  'mend_fuse_f5'),1,3
('light_match_m4'  'mend_fuse_f5'  'mend_fuse_f5'),5,3
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m4'),5,3
('light_match_m5'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m5'),19,4
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m5'  'light_match_m4'),4,4
('mend_fuse_f4'  'light_match_m5'  'light_match_m4'  'mend_fuse_f5'),1,4
('light_match_m5'  'light_match_m4'  'mend_fuse_f5'  'mend_fuse_f5'),1,4
('light_match_m4'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m4'),5,4
('light_match_m5'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m5'  'light_match_m4'),4,5
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m5'  'light_match_m4'  'mend_fuse_f5'),1,5
('mend_fuse_f4'  'light_match_m5'  'light_match_m4'  'mend_fuse_f5'  'mend_fuse_f5'),1,5
('light_match_m5'  'light_match_m4'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m4'),1,5
('mend_fuse_f5'  'light_match_m5'  'light_match_m4'),4,3
('light_match_m5'  'light_match_m4'  'mend_fuse_f4'),3,3
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'  'light_match_m4'),4,4
('mend_fuse_f5'  'light_match_m5'  'light_match_m4'  'mend_fuse_f4'),2,4
('light_match_m5'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),3,4
('light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'  'light_match_m4'),4,5
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'  'light_match_m4'  'mend_fuse_f4'),2,5
('mend_fuse_f5'  'light_match_m5'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),2,5
('light_match_m5'  'light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),3,5
('light_match_m5'  'mend_fuse_f6'),2,2
('mend_fuse_f6'  'light_match_m5'),2,2
('light_match_m5'  'light_match_m6'),8,2
('light_match_m6'  'mend_fuse_f5'),2,2
('mend_fuse_f5'  'light_match_m6'),2,2
('light_match_m5'  'mend_fuse_f6'  'mend_fuse_f6'),2,3
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m5'),2,3
('mend_fuse_f6'  'light_match_m5'  'light_match_m6'),1,3
('light_match_m5'  'light_match_m6'  'mend_fuse_f5'),1,3
('light_match_m6'  'mend_fuse_f5'  'mend_fuse_f5'),2,3
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m6'),2,3
('light_match_m5'  'mend_fuse_f6'  'mend_fuse_f6'  'light_match_m5'),2,4
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m5'  'light_match_m6'),1,4
('mend_fuse_f6'  'light_match_m5'  'light_match_m6'  'mend_fuse_f5'),1,4
('light_match_m5'  'light_match_m6'  'mend_fuse_f5'  'mend_fuse_f5'),1,4
('light_match_m6'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m6'),2,4
('light_match_m5'  'mend_fuse_f6'  'mend_fuse_f6'  'light_match_m5'  'light_match_m6'),1,5
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m5'  'light_match_m6'  'mend_fuse_f5'),1,5
('mend_fuse_f6'  'light_match_m5'  'light_match_m6'  'mend_fuse_f5'  'mend_fuse_f5'),1,5
('light_match_m5'  'light_match_m6'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m6'),1,5
('light_match_m6'  'light_match_m5'),8,2
('mend_fuse_f6'  'light_match_m6'  'light_match_m5'),6,3
('light_match_m6'  'light_match_m5'  'mend_fuse_f5'),2,3
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'  'light_match_m5'),6,4
('mend_fuse_f6'  'light_match_m6'  'light_match_m5'  'mend_fuse_f5'),1,4
('light_match_m6'  'light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'),2,4
('light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'  'light_match_m5'),6,5
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'  'light_match_m5'  'mend_fuse_f5'),1,5
('mend_fuse_f6'  'light_match_m6'  'light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'),1,5
('light_match_m6'  'light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'),2,5
('light_match_m8'  'light_match_m7'),11,2
('mend_fuse_f8'  'light_match_m8'  'light_match_m7'),11,3
('light_match_m8'  'light_match_m7'  'mend_fuse_f7'),11,3
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m7'),11,4
('mend_fuse_f8'  'light_match_m8'  'light_match_m7'  'mend_fuse_f7'),11,4
('light_match_m8'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),11,4
('light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m7'),11,5
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'  'light_match_m7'  'mend_fuse_f7'),11,5
('mend_fuse_f8'  'light_match_m8'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),11,5
('light_match_m8'  'light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),11,5
('light_match_m7'  'light_match_m8'),6,2
('mend_fuse_f7'  'light_match_m7'  'light_match_m8'),4,3
('light_match_m7'  'light_match_m8'  'mend_fuse_f8'),3,3
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'  'light_match_m8'),4,4
('mend_fuse_f7'  'light_match_m7'  'light_match_m8'  'mend_fuse_f8'),3,4
('light_match_m7'  'light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'),3,4
('light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'  'light_match_m8'),4,5
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'  'light_match_m8'  'mend_fuse_f8'),3,5
('mend_fuse_f7'  'light_match_m7'  'light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'),3,5
('light_match_m7'  'light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'),3,5
('light_match_m10'  'light_match_m9'),8,2
('mend_fuse_f10'  'light_match_m10'  'light_match_m9'),8,3
('light_match_m10'  'light_match_m9'  'mend_fuse_f9'),8,3
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'  'light_match_m9'),8,4
('mend_fuse_f10'  'light_match_m10'  'light_match_m9'  'mend_fuse_f9'),8,4
('light_match_m10'  'light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'),8,4
('light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'  'light_match_m9'),8,5
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'  'light_match_m9'  'mend_fuse_f9'),8,5
('mend_fuse_f10'  'light_match_m10'  'light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'),8,5
('light_match_m10'  'light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'),8,5
('light_match_m9'  'light_match_m10'),28,2
('mend_fuse_f9'  'light_match_m9'  'light_match_m10'),26,3
('light_match_m9'  'light_match_m10'  'mend_fuse_f10'),24,3
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'  'light_match_m10'),26,4
('mend_fuse_f9'  'light_match_m9'  'light_match_m10'  'mend_fuse_f10'),22,4
('light_match_m9'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),24,4
('light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'  'light_match_m10'),26,5
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'  'light_match_m10'  'mend_fuse_f10'),22,5
('mend_fuse_f9'  'light_match_m9'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),22,5
('light_match_m9'  'light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),24,5
('light_match_m11'  'mend_fuse_f10'),5,2
('mend_fuse_f10'  'light_match_m11'),5,2
('light_match_m11'  'light_match_m10'),6,2
('light_match_m10'  'mend_fuse_f11'),6,2
('mend_fuse_f11'  'mend_fuse_f11'),82,2
('mend_fuse_f11'  'light_match_m10'),6,2
('light_match_m11'  'mend_fuse_f10'  'mend_fuse_f10'),5,3
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m11'),5,3
('mend_fuse_f10'  'light_match_m11'  'light_match_m10'),1,3
('light_match_m11'  'light_match_m10'  'mend_fuse_f11'),1,3
('light_match_m10'  'mend_fuse_f11'  'mend_fuse_f11'),6,3
('mend_fuse_f11'  'mend_fuse_f11'  'light_match_m10'),6,3
('light_match_m11'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m11'),5,4
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m11'  'light_match_m10'),1,4
('mend_fuse_f10'  'light_match_m11'  'light_match_m10'  'mend_fuse_f11'),1,4
('light_match_m11'  'light_match_m10'  'mend_fuse_f11'  'mend_fuse_f11'),1,4
('light_match_m10'  'mend_fuse_f11'  'mend_fuse_f11'  'light_match_m10'),6,4
('light_match_m11'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m11'  'light_match_m10'),1,5
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m11'  'light_match_m10'  'mend_fuse_f11'),1,5
('mend_fuse_f10'  'light_match_m11'  'light_match_m10'  'mend_fuse_f11'  'mend_fuse_f11'),1,5
('light_match_m11'  'light_match_m10'  'mend_fuse_f11'  'mend_fuse_f11'  'light_match_m10'),1,5
('light_match_m10'  'light_match_m11'),5,2
('mend_fuse_f11'  'light_match_m10'  'light_match_m11'),1,3
('light_match_m10'  'light_match_m11'  'mend_fuse_f10'),1,3
('mend_fuse_f11'  'mend_fuse_f11'  'light_match_m10'  'light_match_m11'),1,4
('mend_fuse_f11'  'light_match_m10'  'light_match_m11'  'mend_fuse_f10'),1,4
('light_match_m10'  'light_match_m11'  'mend_fuse_f10'  'mend_fuse_f10'),1,4
('light_match_m10'  'mend_fuse_f11'  'mend_fuse_f11'  'light_match_m10'  'light_match_m11'),1,5
('mend_fuse_f11'  'mend_fuse_f11'  'light_match_m10'  'light_match_m11'  'mend_fuse_f10'),1,5
('mend_fuse_f11'  'light_match_m10'  'light_match_m11'  'mend_fuse_f10'  'mend_fuse_f10'),1,5
